epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,799.433,2.90592,3.53159,3.73422,0.00841,0.38312,0.0095,0.00193,2.77587,4.3599,3.7503,0.00044884,0.00044884,0.00044884
34,823.994,3.04476,3.56655,3.71628,0.00704,0.41493,0.01775,0.00416,2.77571,4.46718,3.73232,0.00043325,0.00043325,0.00043325
35,846.402,3.04393,3.50893,3.7216,0.50195,0.29755,0.02937,0.00789,2.76322,4.73358,3.74283,0.0004085,0.0004085,0.0004085
36,868.245,2.8905,3.47965,3.64564,0.01173,0.50564,0.04553,0.01311,2.76032,5.3368,3.73067,0.00038375,0.00038375,0.00038375
37,890.166,2.95677,3.38318,3.61887,0.01173,0.50564,0.04553,0.01311,2.76032,5.3368,3.73067,0.000359,0.000359,0.000359
38,912.206,2.96386,3.4727,3.70183,0.00913,0.5287,0.04845,0.01265,2.7693,5.70345,3.68578,0.00033425,0.00033425,0.00033425
39,935.774,2.93054,3.41902,3.65641,0.00948,0.56039,0.04586,0.01382,2.77403,5.66623,3.63958,0.0003095,0.0003095,0.0003095
40,961.939,3.11161,3.5397,3.70871,0.78013,0.06522,0.05532,0.01789,2.76218,5.79344,3.60811,0.00028475,0.00028475,0.00028475
41,989.518,2.70586,3.84927,3.54593,0.78013,0.06522,0.05532,0.01789,2.76218,5.79344,3.60811,0.00026,0.00026,0.00026
42,1014.62,2.65566,3.95349,3.5017,0.7897,0.06522,0.06874,0.02215,2.75648,5.42661,3.59131,0.00023525,0.00023525,0.00023525
43,1041.61,2.78969,3.80688,3.57314,0.79418,0.06522,0.07988,0.02299,2.7455,4.95483,3.58994,0.0002105,0.0002105,0.0002105
44,1065.39,2.50941,3.63364,3.45188,0.7875,0.06522,0.07358,0.01915,2.73728,4.60213,3.61431,0.00018575,0.00018575,0.00018575
45,1087.99,2.68795,3.9156,3.53226,0.7875,0.06522,0.07358,0.01915,2.73728,4.60213,3.61431,0.000161,0.000161,0.000161
46,1117.95,2.62637,3.77469,3.46864,0.79882,0.05435,0.0644,0.01709,2.73265,4.32282,3.62829,0.00013625,0.00013625,0.00013625
47,1142.16,2.76257,3.87899,3.52238,0.78411,0.04348,0.06952,0.01711,2.72728,4.16308,3.62699,0.0001115,0.0001115,0.0001115
48,1167.15,2.74177,3.73322,3.47916,0.76712,0.05435,0.05216,0.01438,2.72135,4.03598,3.60442,8.675e-05,8.675e-05,8.675e-05
49,1190.63,2.53864,3.62473,3.51045,0.76712,0.05435,0.05216,0.01438,2.72135,4.03598,3.60442,6.2e-05,6.2e-05,6.2e-05
50,1213.53,2.62112,3.67638,3.45401,0.76086,0.08696,0.05744,0.01553,2.71179,3.92573,3.58445,3.725e-05,3.725e-05,3.725e-05
