epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2242,2.99379,4.23281,4.2313,0.0039,0.45216,0.00607,0.00197,2.80088,4.31893,4.15889,2.5e-05,2.5e-05,2.5e-05
2,48.2384,3.05486,4.20389,4.26592,0.00396,0.45693,0.01007,0.00301,2.80085,4.31968,4.15871,6.12625e-05,6.12625e-05,6.12625e-05
3,72.6201,3.09665,4.19,4.21775,0.00384,0.44606,0.01967,0.00538,2.80077,4.32,4.15824,9.604e-05,9.604e-05,9.604e-05
4,96.8049,3.12048,4.28641,4.20931,0.00376,0.43996,0.01046,0.00389,2.80066,4.32096,4.15745,0.000129332,0.000129332,0.000129332
5,121.397,3.0104,4.14489,4.18873,0.00387,0.44606,0.01077,0.00304,2.80023,4.3226,4.15617,0.00016114,0.00016114,0.00016114
6,145.52,3.08497,4.21777,4.17587,0.00392,0.45216,0.02194,0.00546,2.80001,4.32319,4.15498,0.000191463,0.000191463,0.000191463
7,169.325,3.14275,4.1132,4.16559,0.00377,0.43996,0.01119,0.00332,2.79924,4.32553,4.15259,0.0002203,0.0002203,0.0002203
8,195.107,3.21622,4.11048,4.16629,0.00388,0.44606,0.00983,0.00267,2.79897,4.32652,4.15121,0.000247653,0.000247653,0.000247653
9,221.405,3.04314,4.09462,4.18171,0.00392,0.45693,0.00959,0.0032,2.79825,4.32891,4.14796,0.00027352,0.00027352,0.00027352
10,247.351,3.11866,4.1033,4.15285,0.00381,0.44606,0.00861,0.00304,2.79961,4.32719,4.14589,0.000297903,0.000297903,0.000297903
11,273.281,3.09598,4.10223,4.1297,0.00388,0.45216,0.02126,0.00418,2.79848,4.32818,4.14089,0.0003208,0.0003208,0.0003208
12,298.154,3.07998,4.08417,4.12612,0.00369,0.43044,0.00843,0.00268,2.79848,4.32701,4.13805,0.000342213,0.000342213,0.000342213
13,321.624,3.1004,3.96222,4.12154,0.00371,0.44606,0.01103,0.003,2.79561,4.32501,4.13081,0.00036214,0.00036214,0.00036214
14,345.666,3.19799,4.0036,4.10282,0.0037,0.44606,0.01153,0.00334,2.79476,4.32262,4.12671,0.000380582,0.000380582,0.000380582
15,368.957,3.25171,3.91731,4.10639,0.00378,0.45693,0.01545,0.004,2.78981,4.32069,4.11698,0.00039754,0.00039754,0.00039754
16,391.656,3.15837,3.99979,4.08034,0.00361,0.43996,0.01294,0.00388,2.78739,4.3203,4.11158,0.000413012,0.000413012,0.000413012
17,418.461,3.16056,3.91465,4.06575,0.00386,0.46555,0.01193,0.00369,2.78608,4.32388,4.10272,0.000427,0.000427,0.000427
18,441.472,3.1874,3.86119,4.02637,0.00385,0.45826,0.00929,0.00314,2.78744,4.32928,4.09952,0.000439502,0.000439502,0.000439502
19,464.313,3.11273,3.78677,4.00536,0.00352,0.43387,0.00719,0.00238,2.78926,4.33885,4.09791,0.00045052,0.00045052,0.00045052
20,492.519,3.39729,3.80041,4.0316,0.00358,0.43044,0.0059,0.00219,2.78816,4.35316,4.09468,0.000460053,0.000460053,0.000460053
21,517.738,3.08864,3.8349,3.98385,0.00383,0.46303,0.00647,0.00219,2.78544,4.36429,4.08531,0.0004681,0.0004681,0.0004681
22,540.295,3.10544,3.72847,3.95987,0.00383,0.46555,0.00664,0.0022,2.77937,4.3764,4.06429,0.000474663,0.000474663,0.000474663
23,562.611,3.08285,3.74904,3.93089,0.00383,0.45826,0.00667,0.00225,2.77047,4.38953,4.04322,0.00047974,0.00047974,0.00047974
24,586.499,2.99703,3.76659,3.93598,0.00384,0.45826,0.00628,0.00219,2.77109,4.37486,4.02209,0.000483333,0.000483333,0.000483333
25,609.193,2.9282,3.66964,3.89533,0.00401,0.47775,0.00684,0.00228,2.76733,4.35332,4.00897,0.00048544,0.00048544,0.00048544
26,632.073,2.90027,3.73581,3.87279,0.00393,0.47165,0.00679,0.00223,2.7662,4.334,3.9581,0.000486063,0.000486063,0.000486063
27,655.565,3.16713,3.72639,3.8667,0.00406,0.47298,0.00678,0.00223,2.76663,4.3107,3.88354,0.0004852,0.0004852,0.0004852
28,678.391,3.12921,3.69811,3.83944,0.00428,0.4598,0.00701,0.00205,2.76918,4.31204,3.83606,0.000482852,0.000482852,0.000482852
29,700.848,3.16126,3.72385,3.81832,0.00428,0.4598,0.00701,0.00205,2.76918,4.31204,3.83606,0.00047902,0.00047902,0.00047902
30,725.477,3.01913,3.4548,3.76281,0.00522,0.41965,0.0074,0.00203,2.77625,4.30744,3.80062,0.000473703,0.000473703,0.000473703
31,749.547,2.97016,3.65771,3.77872,0.00691,0.40913,0.00767,0.00198,2.77911,4.31138,3.78179,0.0004669,0.0004669,0.0004669
32,774.727,2.93707,3.54881,3.77439,0.00841,0.38312,0.0095,0.00193,2.77587,4.3599,3.7503,0.000458613,0.000458613,0.000458613
